restaurant_id,name,website_url,has_online_ordering,has_pickup,has_catering
rest_001,Thai Papaya,thaipapayava.com,yes,yes,yes
rest_002,Pablo's Mexican Restaurant,pablosmexican.com,yes,yes,yes
rest_003,Tacos Cinco de Mayo,evasxcincodemayo.com,unknown,unknown,unknown
rest_004,Nonna Bella's Pizzeria,nonnabellapizza.com,yes,yes,no
rest_005,Jolene's Thai Cuisine,jolenethaicuisine.com,yes,no,no
rest_006,El Fresco Mexican Grill,elfresco.com,yes,yes,yes
rest_008,Washington Burrito,washingtonburrito.com,yes,yes,no
rest_009,Oh Mmm Gyros,ohmmmgyroskaty.com,yes,yes,yes
rest_012,The Northern Pines Restaurant,thenorthernpines.com,yes,no,no
rest_013,Royal Spice,royalspicema.com,yes,no,no
rest_014,Seahouse Fish & Chicken - Fried Chicken Takeaway,seahousejackson.com,yes,yes,no
rest_016,No. 9 Grill,no9grill.com,no,yes,no
rest_017,La Catrachada Mexican & Latino Grill,lacatrachadalatinogrill.com,yes,yes,yes
rest_018,Nantuckets,nantucketsportjefferson.com,yes,no,yes
rest_019,Pannie-George's Kitchen,panniegeorgeskitchen.com,no,no,no
rest_020,Rocco's Pizza,roccospizza.com,yes,no,yes
rest_021,New York Pizza,newyorkpizzainva.com,yes,no,no
rest_022,Old Soul @ 40 Acres,oldsoulco.com,yes,no,yes
rest_023,Pat's Pizza & Bistro Philadelphia Pike,patsbistro.com,yes,no,no
rest_024,Carolina's Mexican Food,carolinasmexicanfood.com,yes,yes,yes
rest_025,DragonEats,dragoneats.com,unknown,unknown,unknown
rest_026,El Cerro Tacos,elcerrotacos.com,unknown,unknown,unknown
rest_027,Emoji Burger,emojiburgerny.com,yes,yes,no
rest_028,Gansett Wraps,gansettwraps.com,yes,no,yes
rest_029,El Bruno's,elbrunonm.com,no,no,yes
rest_030,Toscanas Pizzeria & Restaurant,toscanaspizzabridgewater.com,yes,yes,yes
rest_031,Che Figata Italian Bistro,chefigatabistro.org,no,no,yes
rest_032,Roman Pizzeria & Restaurant,romanpizzablairstown.com,no,no,no
rest_033,No 1 Restaurant,no1williamsburg.com,yes,yes,no
rest_034,Lal Qilla,lalqilasns.com,unknown,unknown,unknown
rest_035,Dos Chiles Grandes,doschiles.net,no,no,no
rest_036,Giovanni's Brooklyn Eats,giovannisbrooklyneats.com,yes,no,yes
rest_037,Main Street Pizza,ordermainstreetpizza.com,yes,yes,no
rest_038,Sabai Sabai,sabaisabaithai.com,no,no,no
rest_039,The Juice Somm,juicesomm.com,unknown,unknown,unknown
rest_040,La Casa Lopez,lacasalopezrestaurant.com,no,yes,yes
rest_041,Root 2 Rise NY,root2riseny.com,no,no,no
rest_042,Sapporo Ramen,sappororamen-ma.com,unknown,unknown,unknown
rest_043,The High Hat,thehighhatmn.com,yes,no,no
rest_044,Joe's Pizza & Subs,joespizzasubsmenu.com,yes,yes,no
rest_045,The Pancake House & Grill,thepancakehousegrill.com,unknown,unknown,unknown
rest_046,Ruah Cafe - The Woodlands The Woodlands,ruahcafe.com,unknown,unknown,unknown
rest_047,Mr. Burger,mrburgerfranchise.com,unknown,unknown,unknown
rest_048,Shoreline Diner & Vegetarian Enclave,shorelinediner.com,yes,no,no
rest_049,Huntington Ramen and Sushi,huntingtonramenfullerton.com,yes,yes,no
rest_050,Monte Carlo Pizzeria,montecarlopizzamenu.com,yes,yes,no
rest_052,Grillers Puerto Rico,grillerspuertorico.com,no,no,no
rest_053,Giorgio's Pizza & Subs,giorgiospizzaandsubs.com,yes,yes,no
rest_054,Breakfast Station,breakfaststationcentral.com,unknown,unknown,unknown
rest_055,Ella Ray's Cafe,ellarayscafe.com,yes,yes,yes
rest_056,Pedalers Fork,pedalersfork.com,yes,yes,yes
rest_057,No Manches Mexican Grill 2 Vernon Hills,nomanchesmexicangrill.com,yes,no,yes
rest_058,Hillcrest Restaurant,hillcrestrestaurant.shop,no,no,no
rest_059,Gyro King & Wings,gyrokingandwingstoledooh.com,yes,yes,no
rest_060,Ki' Mexico,kimexico.com,yes,no,yes
rest_061,Brooklyn Crab,brooklyncrab.com,unknown,unknown,unknown
