restaurant_id,first_order_platform,all_order_platforms,has_restaurant_own_order_platform
rest_001,square,"square,ubereats",no
rest_002,ubereats,"doordash,postmates,toasttab,ubereats",no
rest_003,toasttab,"doordash,toasttab,ubereats",no
rest_004,restaurant_own,"doordash,restaurant_own,slice,ubereats",yes
rest_005,restaurant_own,"doordash,postmates,restaurant_own,ubereats",yes
rest_006,restaurant_own,"doordash,postmates,restaurant_own,slice,ubereats",yes
rest_008,restaurant_own,"doordash,grubhub,postmates,restaurant_own,ubereats",yes
rest_009,restaurant_own,"doordash,grubhub,postmates,restaurant_own,toasttab,ubereats",yes
rest_012,ubereats,"doordash,restaurant_own,ubereats",yes
rest_013,clover,"clover,doordash,restaurant_own,slice,ubereats",yes
rest_014,restaurant_own,"doordash,grubhub,postmates,restaurant_own",yes
rest_016,ubereats,"restaurant_own,ubereats",yes
rest_017,restaurant_own,"doordash,postmates,restaurant_own,ubereats",yes
rest_018,doordash,"doordash,postmates,ubereats",no
rest_019,unknown,,unknown
rest_020,restaurant_own,"restaurant_own,slice,toasttab,ubereats",yes
rest_021,doordash,"doordash,slice,toasttab,ubereats",no
rest_022,grubhub,"grubhub,square",no
rest_023,doordash,"doordash,restaurant_own,slice,ubereats",yes
rest_024,doordash,"doordash,grubhub,postmates,ubereats",no
rest_025,doordash,doordash,no
rest_026,restaurant_own,"doordash,popmenu,postmates,restaurant_own,toasttab",yes
rest_027,restaurant_own,"doordash,grubhub,postmates,restaurant_own,ubereats",yes
rest_028,restaurant_own,"doordash,grubhub,postmates,restaurant_own,ubereats",yes
rest_029,grubhub,"grubhub,restaurant_own",yes
rest_030,slice,"doordash,restaurant_own,slice",yes
rest_031,restaurant_own,"owner,restaurant_own",yes
rest_032,slice,"doordash,postmates,slice",no
rest_033,ubereats,"restaurant_own,ubereats",yes
rest_034,doordash,"doordash,grubhub,ubereats",no
rest_035,ubereats,"restaurant_own,ubereats",yes
rest_036,owner,"grubhub,owner,restaurant_own,toasttab,ubereats",yes
rest_037,slice,"slice,toasttab,ubereats",no
rest_038,postmates,"postmates,toasttab,ubereats",no
rest_039,toasttab,"doordash,grubhub,toasttab,ubereats",no
rest_040,restaurant_own,"doordash,postmates,restaurant_own,ubereats",yes
rest_041,ubereats,"doordash,grubhub,postmates,restaurant_own,ubereats",yes
rest_042,restaurant_own,"grubhub,postmates,restaurant_own,ubereats",yes
rest_043,doordash,doordash,no
rest_044,restaurant_own,"restaurant_own,slice",yes
rest_045,doordash,"doordash,postmates,toasttab,ubereats",no
rest_046,restaurant_own,"owner,postmates,restaurant_own,toasttab,ubereats",yes
rest_047,toasttab,"doordash,grubhub,toasttab,ubereats",no
rest_048,unknown,,unknown
rest_049,restaurant_own,"chownow,doordash,grubhub,restaurant_own,ubereats",yes
rest_050,restaurant_own,"doordash,grubhub,restaurant_own,slice,ubereats",yes
rest_052,doordash,"doordash,grubhub,postmates,ubereats",no
rest_053,restaurant_own,"doordash,postmates,restaurant_own,slice,toasttab,ubereats",yes
rest_054,restaurant_own,"doordash,popmenu,restaurant_own,ubereats",yes
rest_055,restaurant_own,"doordash,grubhub,restaurant_own,ubereats",yes
rest_056,ubereats,"doordash,restaurant_own,toasttab,ubereats",yes
rest_057,doordash,"doordash,grubhub,postmates,restaurant_own,toasttab,ubereats",yes
rest_058,postmates,"doordash,postmates,ubereats",no
rest_059,restaurant_own,"doordash,owner,postmates,restaurant_own,slice,ubereats",yes
rest_060,doordash,"doordash,restaurant_own,toasttab",yes
rest_061,restaurant_own,"doordash,grubhub,restaurant_own",yes
rest_062,restaurant_own,restaurant_own,yes
rest_063,doordash,"doordash,restaurant_own,ubereats",yes
rest_064,restaurant_own,"doordash,grubhub,postmates,restaurant_own,toasttab,ubereats",yes
rest_065,restaurant_own,"chownow,doordash,grubhub,restaurant_own,ubereats",yes
rest_066,square,"square,ubereats",no
rest_067,ubereats,"doordash,postmates,toasttab,ubereats",no
rest_069,restaurant_own,"doordash,grubhub,restaurant_own,ubereats",yes
rest_070,ubereats,"doordash,postmates,ubereats",no
rest_071,restaurant_own,"doordash,grubhub,restaurant_own,toasttab",yes
rest_074,ubereats,"owner,postmates,restaurant_own,square,ubereats",yes
rest_075,doordash,"doordash,grubhub,postmates,ubereats",no
rest_077,toasttab,"chownow,grubhub,toasttab",no
rest_078,restaurant_own,"doordash,postmates,restaurant_own,toasttab,ubereats",yes
rest_080,ubereats,"doordash,postmates,restaurant_own,ubereats",yes
rest_081,restaurant_own,"restaurant_own,toasttab",yes
rest_082,postmates,"clover,doordash,grubhub,postmates",no
rest_083,restaurant_own,"doordash,postmates,restaurant_own,ubereats",yes
rest_084,restaurant_own,"grubhub,restaurant_own,ubereats",yes
rest_085,restaurant_own,"doordash,restaurant_own,ubereats",yes
rest_086,owner,owner,no
rest_087,restaurant_own,"doordash,grubhub,postmates,restaurant_own,ubereats",yes
rest_088,ubereats,"doordash,postmates,ubereats",no
rest_089,restaurant_own,"doordash,grubhub,postmates,restaurant_own,ubereats",yes
rest_090,restaurant_own,"doordash,postmates,restaurant_own,toasttab,ubereats",yes
rest_091,ubereats,"doordash,grubhub,ubereats",no
rest_092,doordash,"doordash,toasttab",no
